user_location,date,text,sentiment,hour,minute,Date,refined text,lowercase text,non-punctuated text,non-extraspace text,tokenized text,non-stopwords text,stemmed text
"Chennai, India",2020-12-17 17:23:00,A #healthcareworker in the US suffered an allergic reaction after receiving Pfizer's Covid-19 vaccine.… https://t.co/FvI1WNMa93,NEG,17,23,2020-12-17,A  in the US suffered an allergic reaction after receiving Pfizer's Covid-19 vaccine.… ,a  in the us suffered an allergic reaction after receiving pfizer's covid-19 vaccine.… ,a  in the us suffered an allergic reaction after receiving pfizer s covid    vaccine   ,a in the us suffered an allergic reaction after receiving pfizer s covid vaccine,"['a', 'in', 'the', 'us', 'suffered', 'an', 'allergic', 'reaction', 'after', 'receiving', 'pfizer', 's', 'covid', 'vaccine']","['us', 'suffered', 'allergic', 'reaction', 'receiving', 'pfizer', 'covid', 'vaccine']","['us', 'suffer', 'allerg', 'reaction', 'receiv', 'pfizer', 'covid', 'vaccin']"
"Boston, MA",2020-12-17 16:51:00,Made it through the snow for the #CovidVaccine thank you to all the hard work by scientists and clinicians to make… https://t.co/J2REffTWBh,POS,16,51,2020-12-17,Made it through the snow for the  thank you to all the hard work by scientists and clinicians to make… ,made it through the snow for the  thank you to all the hard work by scientists and clinicians to make… ,made it through the snow for the  thank you to all the hard work by scientists and clinicians to make  ,made it through the snow for the thank you to all the hard work by scientists and clinicians to make,"['made', 'it', 'through', 'the', 'snow', 'for', 'the', 'thank', 'you', 'to', 'all', 'the', 'hard', 'work', 'by', 'scientists', 'and', 'clinicians', 'to', 'make']","['made', 'snow', 'thank', 'hard', 'work', 'scientists', 'clinicians', 'make']","['made', 'snow', 'thank', 'hard', 'work', 'scientist', 'clinician', 'make']"
No Location,2020-12-17 16:41:00,Thanks to President Reagan #Pfizer #PfizerCOVIDvaccine #Pfizervaccine #PfizerBioNTech #PfizerBiotech #Moderna… https://t.co/H6Tg4nBFxg,POS,16,41,2020-12-17,Thanks to President Reagan       ,thanks to president reagan       ,thanks to president reagan       ,thanks to president reagan,"['thanks', 'to', 'president', 'reagan']","['thanks', 'president', 'reagan']","['thank', 'presid', 'reagan']"
"Michigan, USA",2020-12-17 16:40:00,"Bronson has 1,950 doses of the #PfizerBioNTech #covid19 #vaccine https://t.co/HrWq1Nnu5p",NEU,16,40,2020-12-17,"Bronson has 1,950 doses of the    ","bronson has 1,950 doses of the    ",bronson has       doses of the    ,bronson has doses of the,"['bronson', 'has', 'doses', 'of', 'the']","['bronson', 'doses']","['bronson', 'dose']"
"California, USA",2020-12-17 16:34:00,"The Covid-19 vaccine developed by @pfizer and @BioNTech_Group was the first to be approved in the world, starting w… https://t.co/91yVjzNGoy",NEU,16,34,2020-12-17,"The Covid-19 vaccine developed by  and  was the first to be approved in the world, starting w… ","the covid-19 vaccine developed by  and  was the first to be approved in the world, starting w… ",the covid    vaccine developed by  and  was the first to be approved in the world  starting w  ,the covid vaccine developed by and was the first to be approved in the world starting w,"['the', 'covid', 'vaccine', 'developed', 'by', 'and', 'was', 'the', 'first', 'to', 'be', 'approved', 'in', 'the', 'world', 'starting', 'w']","['covid', 'vaccine', 'developed', 'first', 'approved', 'world', 'starting', 'w']","['covid', 'vaccin', 'develop', 'first', 'approv', 'world', 'start', 'w']"
Email:talksavailable@gmail.com,2020-12-17 16:14:00,@DefenceHQ #proudtobebritish #britishcitizen b'se 🇬🇧 #ukpoliticians &amp; #scientists (#conservatives #borisjohnson led… https://t.co/ATcV9ZvUxC,POS,16,14,2020-12-17,   b'se 🇬🇧  &amp;  (  led… ,   b'se 🇬🇧  &amp;  (  led… ,   b se      amp      led  ,b se amp led,"['b', 'se', 'amp', 'led']","['b', 'se', 'amp', 'led']","['b', 'se', 'amp', 'led']"
"Dorchester, England",2020-12-17 16:11:00,Grateful to be vaccinated @DCHFT #PfizerBioNTech #Pfizervaccine #firstdose https://t.co/YWGcl5n5GI,NEU,16,11,2020-12-17,Grateful to be vaccinated     ,grateful to be vaccinated     ,grateful to be vaccinated     ,grateful to be vaccinated,"['grateful', 'to', 'be', 'vaccinated']","['grateful', 'vaccinated']","['grate', 'vaccin']"
"Portland,OR🏠  / Chino, CA 🏥",2020-12-17 16:10:00,Vaccinated! (Dose #1)  #PfizerBioNTech https://t.co/6asA2BjBHA,NEU,16,10,2020-12-17,Vaccinated! (Dose    ,vaccinated! (dose    ,vaccinated   dose    ,vaccinated dose,"['vaccinated', 'dose']","['vaccinated', 'dose']","['vaccin', 'dose']"
"Portland, OR 🏠 / Chino, CA 🏥",2020-12-17 16:10:00,Vaccinated! (Dose #1)  #PfizerBioNTech https://t.co/OB4sre7Y7k,NEU,16,10,2020-12-17,Vaccinated! (Dose    ,vaccinated! (dose    ,vaccinated   dose    ,vaccinated dose,"['vaccinated', 'dose']","['vaccinated', 'dose']","['vaccin', 'dose']"
Earth,2020-12-17 16:08:00,Alaskan Healthcare Worker Suffers Severe Allergic Reaction To Covid-19 Vaccine #PfizerCOVIDvaccine #PfizerBioNTech… https://t.co/V5PWnLcSsr,NEG,16,8,2020-12-17,Alaskan Healthcare Worker Suffers Severe Allergic Reaction To Covid-19 Vaccine   ,alaskan healthcare worker suffers severe allergic reaction to covid-19 vaccine   ,alaskan healthcare worker suffers severe allergic reaction to covid    vaccine   ,alaskan healthcare worker suffers severe allergic reaction to covid vaccine,"['alaskan', 'healthcare', 'worker', 'suffers', 'severe', 'allergic', 'reaction', 'to', 'covid', 'vaccine']","['alaskan', 'healthcare', 'worker', 'suffers', 'severe', 'allergic', 'reaction', 'covid', 'vaccine']","['alaskan', 'healthcar', 'worker', 'suffer', 'sever', 'allerg', 'reaction', 'covid', 'vaccin']"
No Location,2020-12-17 15:58:00,"If the vaccine works, it won’t be because of @realDonaldTrump

If it doesn’t, it will be because Trump pushed it ou… https://t.co/N1J9V7lGNZ",NEU,15,58,2020-12-17,"If the vaccine works, it won’t be because of 

If it doesn’t, it will be because Trump pushed it ou… ","if the vaccine works, it won’t be because of 

if it doesn’t, it will be because trump pushed it ou… ",if the vaccine works  it won t be because of   if it doesn t  it will be because trump pushed it ou  ,if the vaccine works it won t be because of if it doesn t it will be because trump pushed it ou,"['if', 'the', 'vaccine', 'works', 'it', 'won', 't', 'be', 'because', 'of', 'if', 'it', 'doesn', 't', 'it', 'will', 'be', 'because', 'trump', 'pushed', 'it', 'ou']","['vaccine', 'works', 'trump', 'pushed', 'ou']","['vaccin', 'work', 'trump', 'push', 'ou']"
Boston,2020-12-17 15:42:00,"#DryIce is a hot commodity because of the #PfizerBioNTech 
vaccine. And here I was thinking it was primarily used f… https://t.co/BdLRUj1IXj",NEU,15,42,2020-12-17," is a hot commodity because of the  
vaccine. And here I was thinking it was primarily used f… "," is a hot commodity because of the  
vaccine. and here i was thinking it was primarily used f… ", is a hot commodity because of the   vaccine  and here i was thinking it was primarily used f  ,is a hot commodity because of the vaccine and here i was thinking it was primarily used f,"['is', 'a', 'hot', 'commodity', 'because', 'of', 'the', 'vaccine', 'and', 'here', 'i', 'was', 'thinking', 'it', 'was', 'primarily', 'used', 'f']","['hot', 'commodity', 'vaccine', 'thinking', 'primarily', 'used', 'f']","['hot', 'commod', 'vaccin', 'think', 'primarili', 'use', 'f']"
"Chennai, India",2020-12-17 15:27:00,US Vice President @Mike_Pence and his wife @KarenPence will publicly receive a Covid-19 vaccine on Friday to promot… https://t.co/kGtulzcKt0,NEU,15,27,2020-12-17,US Vice President  and his wife  will publicly receive a Covid-19 vaccine on Friday to promot… ,us vice president  and his wife  will publicly receive a covid-19 vaccine on friday to promot… ,us vice president  and his wife  will publicly receive a covid    vaccine on friday to promot  ,us vice president and his wife will publicly receive a covid vaccine on friday to promot,"['us', 'vice', 'president', 'and', 'his', 'wife', 'will', 'publicly', 'receive', 'a', 'covid', 'vaccine', 'on', 'friday', 'to', 'promot']","['us', 'vice', 'president', 'wife', 'publicly', 'receive', 'covid', 'vaccine', 'friday', 'promot']","['us', 'vice', 'presid', 'wife', 'publicli', 'receiv', 'covid', 'vaccin', 'friday', 'promot']"
Email:talksavailable@gmail.com,2020-12-17 15:15:00,@UNICEF @unicefchief #proudtobebritish #britishcitizen b'se 🇬🇧 politicians #govuk #10Downingstreet #borisjohnson… https://t.co/KccECA4UPS,POS,15,15,2020-12-17,    b'se 🇬🇧 politicians    ,    b'se 🇬🇧 politicians    ,    b se    politicians    ,b se politicians,"['b', 'se', 'politicians']","['b', 'se', 'politicians']","['b', 'se', 'politician']"
"Chennai, India",2020-12-17 15:14:00,"Veteran star @IanMcKellen has received the first dose of the Covid-19 vaccine, and says he is feeling euphoric abou… https://t.co/miG65i7Ki3",NEU,15,14,2020-12-17,"Veteran star  has received the first dose of the Covid-19 vaccine, and says he is feeling euphoric abou… ","veteran star  has received the first dose of the covid-19 vaccine, and says he is feeling euphoric abou… ",veteran star  has received the first dose of the covid    vaccine  and says he is feeling euphoric abou  ,veteran star has received the first dose of the covid vaccine and says he is feeling euphoric abou,"['veteran', 'star', 'has', 'received', 'the', 'first', 'dose', 'of', 'the', 'covid', 'vaccine', 'and', 'says', 'he', 'is', 'feeling', 'euphoric', 'abou']","['veteran', 'star', 'received', 'first', 'dose', 'covid', 'vaccine', 'says', 'feeling', 'euphoric', 'abou']","['veteran', 'star', 'receiv', 'first', 'dose', 'covid', 'vaccin', 'say', 'feel', 'euphor', 'abou']"
No Location,2020-12-17 15:13:00,LOL 🤦‍♂️🤷🏻🤷🏽‍♀️who are they fooling? #PfizerCOVIDvaccine #PfizerBioNTech https://t.co/JCr0HxY6nX,NEG,15,13,2020-12-17,LOL 🤦‍♂️🤷🏻🤷🏽‍♀️who are they fooling?   ,lol 🤦‍♂️🤷🏻🤷🏽‍♀️who are they fooling?   ,lol            who are they fooling    ,lol who are they fooling,"['lol', 'who', 'are', 'they', 'fooling']","['lol', 'fooling']","['lol', 'fool']"
Wales,2020-12-17 15:03:00,"Today I had my vaccine at the Stadium in Cwmbran. Well done all. Well organised, efficient! See you again soon. Spe… https://t.co/yHcTEiDU9N",POS,15,3,2020-12-17,"Today I had my vaccine at the Stadium in Cwmbran. Well done all. Well organised, efficient! See you again soon. Spe… ","today i had my vaccine at the stadium in cwmbran. well done all. well organised, efficient! see you again soon. spe… ",today i had my vaccine at the stadium in cwmbran  well done all  well organised  efficient  see you again soon  spe  ,today i had my vaccine at the stadium in cwmbran well done all well organised efficient see you again soon spe,"['today', 'i', 'had', 'my', 'vaccine', 'at', 'the', 'stadium', 'in', 'cwmbran', 'well', 'done', 'all', 'well', 'organised', 'efficient', 'see', 'you', 'again', 'soon', 'spe']","['today', 'vaccine', 'stadium', 'cwmbran', 'well', 'done', 'well', 'organised', 'efficient', 'see', 'soon', 'spe']","['today', 'vaccin', 'stadium', 'cwmbran', 'well', 'done', 'well', 'organis', 'effici', 'see', 'soon', 'spe']"
Planet Earth,2020-12-17 14:55:00,Where are you with this important life decision? About taking a vaccine. #vaccination #COVID19 #CovidVaccine #PfizerBioNTech,POS,14,55,2020-12-17,Where are you with this important life decision? About taking a vaccine.    ,where are you with this important life decision? about taking a vaccine.    ,where are you with this important life decision  about taking a vaccine     ,where are you with this important life decision about taking a vaccine,"['where', 'are', 'you', 'with', 'this', 'important', 'life', 'decision', 'about', 'taking', 'a', 'vaccine']","['important', 'life', 'decision', 'taking', 'vaccine']","['import', 'life', 'decis', 'take', 'vaccin']"
"London, England",2020-12-17 14:48:00,Data related to risk in individuals with a history of allergic reactions to previous vaccinations and/or mast cell… https://t.co/86ZmFu9YQJ,NEG,14,48,2020-12-17,Data related to risk in individuals with a history of allergic reactions to previous vaccinations and/or mast cell… ,data related to risk in individuals with a history of allergic reactions to previous vaccinations and/or mast cell… ,data related to risk in individuals with a history of allergic reactions to previous vaccinations and or mast cell  ,data related to risk in individuals with a history of allergic reactions to previous vaccinations and or mast cell,"['data', 'related', 'to', 'risk', 'in', 'individuals', 'with', 'a', 'history', 'of', 'allergic', 'reactions', 'to', 'previous', 'vaccinations', 'and', 'or', 'mast', 'cell']","['data', 'related', 'risk', 'individuals', 'history', 'allergic', 'reactions', 'previous', 'vaccinations', 'mast', 'cell']","['data', 'relat', 'risk', 'individu', 'histori', 'allerg', 'reaction', 'previou', 'vaccin', 'mast', 'cell']"
France,2020-12-17 14:31:00,"#UPDATE The EU is set to start Covid-19 inoculations on December 27, Commission President Ursula von der Leyen said… https://t.co/p0BvhIic4o",NEU,14,31,2020-12-17," The EU is set to start Covid-19 inoculations on December 27, Commission President Ursula von der Leyen said… "," the eu is set to start covid-19 inoculations on december 27, commission president ursula von der leyen said… ", the eu is set to start covid    inoculations on december     commission president ursula von der leyen said  ,the eu is set to start covid inoculations on december commission president ursula von der leyen said,"['the', 'eu', 'is', 'set', 'to', 'start', 'covid', 'inoculations', 'on', 'december', 'commission', 'president', 'ursula', 'von', 'der', 'leyen', 'said']","['eu', 'set', 'start', 'covid', 'inoculations', 'december', 'commission', 'president', 'ursula', 'von', 'der', 'leyen', 'said']","['eu', 'set', 'start', 'covid', 'inocul', 'decemb', 'commiss', 'presid', 'ursula', 'von', 'der', 'leyen', 'said']"
"Toronto, Ontario",2020-12-17 14:22:00,I just got my #CovidVaccine!! I’m doing my part in this fight against #COVID19. Thanks to @UHN for this opportunity… https://t.co/YjxBjn5zAo,POS,14,22,2020-12-17,I just got my  I’m doing my part in this fight against  Thanks to  for this opportunity… ,i just got my  i’m doing my part in this fight against  thanks to  for this opportunity… ,i just got my  i m doing my part in this fight against  thanks to  for this opportunity  ,i just got my i m doing my part in this fight against thanks to for this opportunity,"['i', 'just', 'got', 'my', 'i', 'm', 'doing', 'my', 'part', 'in', 'this', 'fight', 'against', 'thanks', 'to', 'for', 'this', 'opportunity']","['got', 'part', 'fight', 'thanks', 'opportunity']","['got', 'part', 'fight', 'thank', 'opportun']"
Houston & WPB via The Bronx,2020-12-17 14:07:00,#New: Airlines Say Early Vaccine Transports Are Moving Smoothly – Skift #Airlines #Transport #Cargo #COVID19… https://t.co/klGUGje3ng,POS,14,7,2020-12-17, Airlines Say Early Vaccine Transports Are Moving Smoothly – Skift     , airlines say early vaccine transports are moving smoothly – skift     , airlines say early vaccine transports are moving smoothly   skift     ,airlines say early vaccine transports are moving smoothly skift,"['airlines', 'say', 'early', 'vaccine', 'transports', 'are', 'moving', 'smoothly', 'skift']","['airlines', 'say', 'early', 'vaccine', 'transports', 'moving', 'smoothly', 'skift']","['airlin', 'say', 'earli', 'vaccin', 'transport', 'move', 'smoothli', 'skift']"
"Miami, FL",2020-12-17 14:01:00,"UPDATE: Jackson administered 1,318 #PfizerBioNTech vaccinations by 8 p.m. yesterday, bringing our total to 2,581.",NEU,14,1,2020-12-17,"UPDATE: Jackson administered 1,318  vaccinations by 8 p.m. yesterday, bringing our total to 2,581.","update: jackson administered 1,318  vaccinations by 8 p.m. yesterday, bringing our total to 2,581.",update  jackson administered        vaccinations by   p m  yesterday  bringing our total to       ,update jackson administered vaccinations by p m yesterday bringing our total to,"['update', 'jackson', 'administered', 'vaccinations', 'by', 'p', 'm', 'yesterday', 'bringing', 'our', 'total', 'to']","['update', 'jackson', 'administered', 'vaccinations', 'p', 'yesterday', 'bringing', 'total']","['updat', 'jackson', 'administ', 'vaccin', 'p', 'yesterday', 'bring', 'total']"
Planet Earth,2020-12-17 13:52:00,"@kevinametzger I'm gonna be openly stalking people like you. So. Feel free to share more. 
#vaccine #PfizerBioNTech… https://t.co/k50hOqIjcZ",NEU,13,52,2020-12-17," I'm gonna be openly stalking people like you. So. Feel free to share more. 
  "," i'm gonna be openly stalking people like you. so. feel free to share more. 
  ", i m gonna be openly stalking people like you  so  feel free to share more     ,i m gonna be openly stalking people like you so feel free to share more,"['i', 'm', 'gon', 'na', 'be', 'openly', 'stalking', 'people', 'like', 'you', 'so', 'feel', 'free', 'to', 'share', 'more']","['gon', 'na', 'openly', 'stalking', 'people', 'like', 'feel', 'free', 'share']","['gon', 'na', 'openli', 'stalk', 'peopl', 'like', 'feel', 'free', 'share']"
"Clinton, SC",2020-12-17 13:47:00,I was so fortunate and PROUD to get my #CovidVaccine yesterday!!! I am so thankful for everyone who made this histo… https://t.co/aaCL9uCkf1,POS,13,47,2020-12-17,I was so fortunate and PROUD to get my  yesterday!!! I am so thankful for everyone who made this histo… ,i was so fortunate and proud to get my  yesterday!!! i am so thankful for everyone who made this histo… ,i was so fortunate and proud to get my  yesterday    i am so thankful for everyone who made this histo  ,i was so fortunate and proud to get my yesterday i am so thankful for everyone who made this histo,"['i', 'was', 'so', 'fortunate', 'and', 'proud', 'to', 'get', 'my', 'yesterday', 'i', 'am', 'so', 'thankful', 'for', 'everyone', 'who', 'made', 'this', 'histo']","['fortunate', 'proud', 'get', 'yesterday', 'thankful', 'everyone', 'made', 'histo']","['fortun', 'proud', 'get', 'yesterday', 'thank', 'everyon', 'made', 'histo']"
England,2020-12-17 13:04:00,"The #FDA released a positive analysis of the #ModernaVaccine, a single dose might be enough to prevent #COVID19. Si… https://t.co/2h8XFUjFdo",POS,13,4,2020-12-17,The  released a positive analysis of the  a single dose might be enough to prevent  Si… ,the  released a positive analysis of the  a single dose might be enough to prevent  si… ,the  released a positive analysis of the  a single dose might be enough to prevent  si  ,the released a positive analysis of the a single dose might be enough to prevent si,"['the', 'released', 'a', 'positive', 'analysis', 'of', 'the', 'a', 'single', 'dose', 'might', 'be', 'enough', 'to', 'prevent', 'si']","['released', 'positive', 'analysis', 'single', 'dose', 'might', 'enough', 'prevent', 'si']","['releas', 'posit', 'analysi', 'singl', 'dose', 'might', 'enough', 'prevent', 'si']"
"Elmhurst, IL",2020-12-17 12:22:00,The first delivery of Pfizer-BioNTech #coronavirus vaccine arrived at Elmhurst Hospital early Thursday morning!… https://t.co/ZzuBYIPD0f,NEU,12,22,2020-12-17,The first delivery of Pfizer-BioNTech  vaccine arrived at Elmhurst Hospital early Thursday morning!… ,the first delivery of pfizer-biontech  vaccine arrived at elmhurst hospital early thursday morning!… ,the first delivery of pfizer biontech  vaccine arrived at elmhurst hospital early thursday morning   ,the first delivery of pfizer biontech vaccine arrived at elmhurst hospital early thursday morning,"['the', 'first', 'delivery', 'of', 'pfizer', 'biontech', 'vaccine', 'arrived', 'at', 'elmhurst', 'hospital', 'early', 'thursday', 'morning']","['first', 'delivery', 'pfizer', 'biontech', 'vaccine', 'arrived', 'elmhurst', 'hospital', 'early', 'thursday', 'morning']","['first', 'deliveri', 'pfizer', 'biontech', 'vaccin', 'arriv', 'elmhurst', 'hospit', 'earli', 'thursday', 'morn']"
"Halawa, HI",2020-12-17 12:05:00,Singapore has become the first Asian country to approve the Pfizer-BioNTech coronavirus vaccine and said it expects… https://t.co/U7oDOlafUy,POS,12,5,2020-12-17,Singapore has become the first Asian country to approve the Pfizer-BioNTech coronavirus vaccine and said it expects… ,singapore has become the first asian country to approve the pfizer-biontech coronavirus vaccine and said it expects… ,singapore has become the first asian country to approve the pfizer biontech coronavirus vaccine and said it expects  ,singapore has become the first asian country to approve the pfizer biontech coronavirus vaccine and said it expects,"['singapore', 'has', 'become', 'the', 'first', 'asian', 'country', 'to', 'approve', 'the', 'pfizer', 'biontech', 'coronavirus', 'vaccine', 'and', 'said', 'it', 'expects']","['singapore', 'become', 'first', 'asian', 'country', 'approve', 'pfizer', 'biontech', 'coronavirus', 'vaccine', 'said', 'expects']","['singapor', 'becom', 'first', 'asian', 'countri', 'approv', 'pfizer', 'biontech', 'coronaviru', 'vaccin', 'said', 'expect']"
No Location,2020-12-17 11:23:00,First Americans receive COVID-19 vaccine amid historic rollout https://t.co/yftoKDh9Nt @nyulangone #COVID19… https://t.co/gipI2GIz9q,NEU,11,23,2020-12-17,First Americans receive COVID-19 vaccine amid historic rollout    ,first americans receive covid-19 vaccine amid historic rollout    ,first americans receive covid    vaccine amid historic rollout    ,first americans receive covid vaccine amid historic rollout,"['first', 'americans', 'receive', 'covid', 'vaccine', 'amid', 'historic', 'rollout']","['first', 'americans', 'receive', 'covid', 'vaccine', 'amid', 'historic', 'rollout']","['first', 'american', 'receiv', 'covid', 'vaccin', 'amid', 'histor', 'rollout']"
"Ballypalookagh, Ireland. ",2020-12-17 11:22:00,Dear #PfizerBioNTech  - https://t.co/CQgpf4fVDM,NEU,11,22,2020-12-17,Dear   - ,dear   - ,dear     ,dear,['dear'],['dear'],['dear']
washington,2020-12-17 10:32:00,"$SVTE can easily deliver the #COVID19
#Pfizer #BioNTech #vaccine right now!
$PFE $BNTX
https://t.co/DLwhCItW6z… https://t.co/N9MOXFgCUa",NEU,10,32,2020-12-17,"$SVTE can easily deliver the 
   right now!
$PFE $BNTX
 ","$svte can easily deliver the 
   right now!
$pfe $bntx
 ", svte can easily deliver the     right now   pfe  bntx  ,svte can easily deliver the right now pfe bntx,"['svte', 'can', 'easily', 'deliver', 'the', 'right', 'now', 'pfe', 'bntx']","['svte', 'easily', 'deliver', 'right', 'pfe', 'bntx']","['svte', 'easili', 'deliv', 'right', 'pfe', 'bntx']"
Delhi,2020-12-17 10:06:00,"#ChinaExposed |
#China has been projecting itself as the front-runner in the #CovidVaccine race but has now gone in… https://t.co/G9Qruf77Ti",NEU,10,6,2020-12-17," |
 has been projecting itself as the front-runner in the  race but has now gone in… "," |
 has been projecting itself as the front-runner in the  race but has now gone in… ",    has been projecting itself as the front runner in the  race but has now gone in  ,has been projecting itself as the front runner in the race but has now gone in,"['has', 'been', 'projecting', 'itself', 'as', 'the', 'front', 'runner', 'in', 'the', 'race', 'but', 'has', 'now', 'gone', 'in']","['projecting', 'front', 'runner', 'race', 'gone']","['project', 'front', 'runner', 'race', 'gone']"
Keighley,2020-12-17 10:02:00,Why don’t they get all the professional darts players to give people the #vaccine I’m sure it would be quicker and… https://t.co/RXbdAgnWBh,NEG,10,2,2020-12-17,Why don’t they get all the professional darts players to give people the  I’m sure it would be quicker and… ,why don’t they get all the professional darts players to give people the  i’m sure it would be quicker and… ,why don t they get all the professional darts players to give people the  i m sure it would be quicker and  ,why don t they get all the professional darts players to give people the i m sure it would be quicker and,"['why', 'don', 't', 'they', 'get', 'all', 'the', 'professional', 'darts', 'players', 'to', 'give', 'people', 'the', 'i', 'm', 'sure', 'it', 'would', 'be', 'quicker', 'and']","['get', 'professional', 'darts', 'players', 'give', 'people', 'sure', 'would', 'quicker']","['get', 'profession', 'dart', 'player', 'give', 'peopl', 'sure', 'would', 'quicker']"
"South East, England",2020-12-17 09:42:00,Several #bluetee members (over 80) of @westsussexgolf report a structured &amp; fast #CovidVaccine  process with staff… https://t.co/Lje9b1QEsC,NEU,9,42,2020-12-17,Several  members (over 80) of  report a structured &amp; fast   process with staff… ,several  members (over 80) of  report a structured &amp; fast   process with staff… ,several  members  over     of  report a structured  amp  fast   process with staff  ,several members over of report a structured amp fast process with staff,"['several', 'members', 'over', 'of', 'report', 'a', 'structured', 'amp', 'fast', 'process', 'with', 'staff']","['several', 'members', 'report', 'structured', 'amp', 'fast', 'process', 'staff']","['sever', 'member', 'report', 'structur', 'amp', 'fast', 'process', 'staff']"
Bhubaneswar | Kolkata | Bihar ,2020-12-17 09:39:00,"I am pretty sure #Modi ji has already got  #PfizerBioNTech #vaccination for him..
But let's wear #Masks until we ge… https://t.co/IQDHUyZjJH",NEU,9,39,2020-12-17,"I am pretty sure  ji has already got    for him..
But let's wear  until we ge… ","i am pretty sure  ji has already got    for him..
but let's wear  until we ge… ",i am pretty sure  ji has already got    for him   but let s wear  until we ge  ,i am pretty sure ji has already got for him but let s wear until we ge,"['i', 'am', 'pretty', 'sure', 'ji', 'has', 'already', 'got', 'for', 'him', 'but', 'let', 's', 'wear', 'until', 'we', 'ge']","['pretty', 'sure', 'ji', 'already', 'got', 'let', 'wear', 'ge']","['pretti', 'sure', 'ji', 'alreadi', 'got', 'let', 'wear', 'ge']"
England. UK,2020-12-17 09:24:00,"@10DowningStreet Well Done to those people who volunteered. We no longer use mice, rats or 🐒 monkeys. #vaccine… https://t.co/MOevyzexdE",NEU,9,24,2020-12-17," Well Done to those people who volunteered. We no longer use mice, rats or 🐒 monkeys.  "," well done to those people who volunteered. we no longer use mice, rats or 🐒 monkeys.  ", well done to those people who volunteered  we no longer use mice  rats or   monkeys   ,well done to those people who volunteered we no longer use mice rats or monkeys,"['well', 'done', 'to', 'those', 'people', 'who', 'volunteered', 'we', 'no', 'longer', 'use', 'mice', 'rats', 'or', 'monkeys']","['well', 'done', 'people', 'volunteered', 'longer', 'use', 'mice', 'rats', 'monkeys']","['well', 'done', 'peopl', 'volunt', 'longer', 'use', 'mice', 'rat', 'monkey']"
Malaysia,2020-12-17 09:14:00,"US sets 24-hour records with over 3,700 Covid deaths, 250,000 new cases https://t.co/Y7PTESW53e 

#COVID19… https://t.co/ZceAqp4oiF",NEG,9,14,2020-12-17,"US sets 24-hour records with over 3,700 Covid deaths, 250,000 new cases  

 ","us sets 24-hour records with over 3,700 covid deaths, 250,000 new cases  

 ",us sets    hour records with over       covid deaths          new cases     ,us sets hour records with over covid deaths new cases,"['us', 'sets', 'hour', 'records', 'with', 'over', 'covid', 'deaths', 'new', 'cases']","['us', 'sets', 'hour', 'records', 'covid', 'deaths', 'new', 'cases']","['us', 'set', 'hour', 'record', 'covid', 'death', 'new', 'case']"
No Location,2020-12-17 09:12:00,If you’ve ever eaten ‘Billy Bear Ham’ then you don’t need to worry about whats in this Covid vaccine! 😷💉#Vaccines… https://t.co/39H4Zibf2D,NEU,9,12,2020-12-17,If you’ve ever eaten ‘Billy Bear Ham’ then you don’t need to worry about whats in this Covid vaccine! 😷💉 ,if you’ve ever eaten ‘billy bear ham’ then you don’t need to worry about whats in this covid vaccine! 😷💉 ,if you ve ever eaten  billy bear ham  then you don t need to worry about whats in this covid vaccine     ,if you ve ever eaten billy bear ham then you don t need to worry about whats in this covid vaccine,"['if', 'you', 've', 'ever', 'eaten', 'billy', 'bear', 'ham', 'then', 'you', 'don', 't', 'need', 'to', 'worry', 'about', 'whats', 'in', 'this', 'covid', 'vaccine']","['ever', 'eaten', 'billy', 'bear', 'ham', 'need', 'worry', 'whats', 'covid', 'vaccine']","['ever', 'eaten', 'billi', 'bear', 'ham', 'need', 'worri', 'what', 'covid', 'vaccin']"
France,2020-12-17 09:08:00,#COVIDー19 #COVID19 #PfizerBioNTech  The Asthma and Allergy Foundation of America also noted on Wednesday that the… https://t.co/8z4PmXTCvW,NEU,9,8,2020-12-17,    The Asthma and Allergy Foundation of America also noted on Wednesday that the… ,    the asthma and allergy foundation of america also noted on wednesday that the… ,    the asthma and allergy foundation of america also noted on wednesday that the  ,the asthma and allergy foundation of america also noted on wednesday that the,"['the', 'asthma', 'and', 'allergy', 'foundation', 'of', 'america', 'also', 'noted', 'on', 'wednesday', 'that', 'the']","['asthma', 'allergy', 'foundation', 'america', 'also', 'noted', 'wednesday']","['asthma', 'allergi', 'foundat', 'america', 'also', 'note', 'wednesday']"
North England,2020-12-17 09:02:00,"@o_rips There you go, sensor this..

#CovidVaccine 
#BioNTech 
#Pfizervaccine 
#PfizerBioNTech 
#BillGates… https://t.co/ZYCRo6Pvlh",NEU,9,2,2020-12-17," There you go, sensor this..

 
 
 
 
 "," there you go, sensor this..

 
 
 
 
 ", there you go  sensor this             ,there you go sensor this,"['there', 'you', 'go', 'sensor', 'this']","['go', 'sensor']","['go', 'sensor']"
